nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000033	Alfred Hitchcock	1899	1980	director,producer,writer	tt0054215,tt0056869,tt0053125,tt0052357
nm0000096	Gillian Anderson	1968	\N	actress,producer,soundtrack	tt0106179,tt0455590,tt0442632,tt2294189
nm0000141	David Duchovny	1960	\N	actor,producer,director	tt0443701,tt0120902,tt0904208,tt0106179
nm0000155	Whoopi Goldberg	1955	\N	actress,producer,writer	tt0099653,tt0108147,tt0105417,tt0088939
nm0000164	Anthony Hopkins	1937	\N	actor,soundtrack,composer	tt0212985,tt0102926,tt0975645,tt0113987
nm0000184	George Lucas	1944	\N	writer,producer,director	tt0066434,tt0082971,tt0076759,tt0069704
nm0000231	Oliver Stone	1946	\N	director,producer,writer	tt0091763,tt0102138,tt0110632,tt0096969
nm0000267	Julie Andrews	1935	\N	actress,soundtrack,writer	tt0062362,tt0084865,tt0058331,tt0059742
nm0000507	Rob Lowe	1964	\N	actor,producer,soundtrack	tt0086066,tt0145660,tt0105793,tt0090060
nm0000555	Judd Nelson	1959	\N	actor,writer,producer	tt0102526,tt0090060,tt0088847,tt0092106
nm0000625	Fred Savage	1976	\N	actor,director,producer	tt0295178,tt0094582,tt0093779,tt0090768
nm0000853	Bruno Barreto	1955	\N	director,producer,writer	tt0086871,tt0077452,tt2217458,tt0119815
nm0000945	Jane Birkin	1946	\N	actress,soundtrack,director	tt0060176,tt0077413,tt0083908,tt0901473
nm0001077	Richard Crenna	1926	2003	actor,director,soundtrack	tt0095956,tt0062467,tt0107144,tt0083944
nm0001201	Mia Farrow	1945	\N	actress,soundtrack	tt0087003,tt0097123,tt0089853,tt0063522
nm0001218	Sean Patrick Flanery	1965	\N	actor,producer,writer	tt0144117,tt1300851,tt0114168,tt0120241
nm0001281	Bobcat Goldthwait	1962	\N	director,actor,writer	tt1912398,tt0102898,tt0119282,tt0096061
nm0001297	Joel Grey	1932	\N	actor,soundtrack	tt0089901,tt1024715,tt0068327,tt0168629
nm0001375	Kim Hunter	1922	2002	actress,soundtrack	tt0067065,tt0063442,tt0065462,tt0044081
nm0001401	Angelina Jolie	1975	\N	actress,producer,director	tt1587310,tt0824747,tt0944835,tt0172493
nm0001404	Madeline Kahn	1942	1999	actress,soundtrack	tt0071230,tt0072431,tt0088930,tt0070510
nm0001442	Ricki Lake	1968	\N	actress,producer,soundtrack	tt0095270,tt0427327,tt0099329,tt0111127
nm0001541	Kylie Minogue	1968	\N	music_artist,soundtrack,actress	tt0088580,tt0111301,tt0203009,tt2126355
nm0001598	Robert Patrick	1958	\N	actor,producer	tt0133751,tt0103064,tt0419946,tt0106912
nm0001681	George A. Romero	1940	2017	producer,writer,director	tt0063350,tt0095652,tt0418819,tt0848557
nm0001992	Johnny Carson	1925	2005	soundtrack,actor,writer	tt0059398,tt0055708,tt0260758,tt0116282
nm0002459	T.C. Christensen	\N	\N	cinematographer,director,camera_department	tt1909270,tt2509298,tt0214723,tt0136523
