tconst	ordering	nconst	category	job	characters
tt0007248	10	nm0207637	actor	\N	"[""Felipe Moreno""]"
tt0007248	1	nm0322284	actress	\N	"[""Ramona""]"
tt0007248	2	nm0885818	actress	\N	"[""Ramona (in the prologue)""]"
tt0007248	3	nm0245304	actress	\N	"[""Ramona (age 4)""]"
tt0007248	4	nm0758457	actor	\N	"[""Alessandro""]"
tt0007248	5	nm0187981	director	\N	\N
tt0007248	6	nm0413582	writer	novel	\N
tt0007248	7	nm0167337	producer	producer	\N
tt0007248	8	nm0322688	cinematographer	\N	\N
tt0007248	9	nm0884979	cinematographer	\N	\N
tt0062158	10	nm0371401	actor	\N	"[""Tony""]"
tt0062158	1	nm0598777	actor	\N	"[""Johnny May""]"
tt0062158	2	nm0786577	actor	\N	"[""Eddie""]"
tt0062158	3	nm0428544	actor	\N	"[""Wally""]"
tt0062158	4	nm0431582	actor	\N	"[""Trevor""]"
tt0062158	5	nm0533334	director	\N	\N
tt0062158	6	nm1057756	writer	writer	\N
tt0062158	7	nm0531739	producer	producer	\N
tt0062158	8	nm0472066	production_designer	\N	\N
tt0062158	9	nm0082843	actor	\N	"[""Bobby""]"
tt0109027	10	nm4682808	actress	\N	"[""Doug's Sister""]"
tt0109027	1	nm0003612	actor	\N	"[""Douglas Ng""]"
tt0109027	2	nm12575716	actress	\N	\N
tt0109027	3	nm5293816	actor	\N	"[""Restroom janitor""]"
tt0109027	4	nm0477066	actress	\N	"[""Joanne""]"
tt0109027	5	nm0516314	director	\N	\N
tt0109027	6	nm0516319	composer	\N	\N
tt0109027	7	nm0159440	editor	\N	\N
tt0109027	8	nm4318794	actress	\N	\N
tt0109027	9	nm0837282	actress	\N	\N
tt0145499	1	nm0562400	director	\N	\N
tt0161622	10	nm0731557	editor	\N	\N
tt0161622	1	nm0285448	actress	\N	"[""Mavis""]"
tt0161622	2	nm0445173	actress	\N	"[""Bobby's Ex""]"
tt0161622	3	nm0788803	actress	\N	"[""Phone Sex Girl""]"
tt0161622	4	nm0500194	actress	\N	"[""Jean""]"
tt0161622	5	nm0094217	director	\N	\N
tt0161622	6	nm2956452	writer	writer	\N
tt0161622	7	nm0426452	producer	producer	\N
tt0161622	8	nm0101557	composer	\N	\N
tt0161622	9	nm0561670	cinematographer	\N	\N
tt0198215	1	nm0005131	actor	\N	"[""Host""]"
tt0198215	2	nm0697676	self	\N	"[""Self""]"
tt0199456	1	nm0100845	director	\N	\N
tt0231212	10	nm0805757	production_designer	\N	\N
tt0231212	1	nm0607027	actress	\N	"[""Ella Lee Thompson""]"
tt0231212	2	nm0242882	actor	\N	"[""Larry""]"
tt0231212	3	nm0869721	actress	\N	"[""Grace Nelson""]"
tt0231212	4	nm0154870	actress	\N	"[""Ruby""]"
tt0231212	5	nm0255033	producer	producer	\N
tt0231212	6	nm0907622	producer	producer	\N
tt0231212	7	nm0085858	composer	\N	\N
tt0231212	8	nm0367318	composer	\N	\N
tt0231212	9	nm0003446	cinematographer	\N	\N
tt0242723	10	nm0890425	cinematographer	\N	\N
tt0242723	1	nm0530419	actress	\N	"[""Denise de Lavigny, a Nebántsvirág""]"
tt0242723	2	nm0439112	actor	\N	"[""Celestin, a zárda orgonistája"",""Floridor, operettszerzõ""]"
tt0242723	3	nm0270485	actor	\N	"[""õrnagy""]"
tt0242723	4	nm0239982	actor	\N	"[""Hadnagy""]"
tt0242723	5	nm0385963	director	\N	\N
tt0242723	6	nm0576830	writer	\N	\N
tt0242723	7	nm0586910	writer	\N	\N
tt0242723	8	nm0657131	writer	\N	\N
tt0242723	9	nm9027117	producer	producer	\N
tt0259252	1	nm0707951	actress	\N	"[""Chintamani""]"
tt0259252	2	nm0004417	actor	\N	"[""Bilwamangal""]"
tt0259252	3	nm0893147	actor	\N	\N
tt0259252	4	nm0436303	actor	\N	\N
tt0259252	5	nm0710587	director	\N	\N
tt0259252	6	nm1224759	writer	dialogue	\N
tt0259252	7	nm0011915	composer	\N	\N
tt0259252	8	nm0845806	composer	\N	\N
tt0302345	10	nm1089665	editor	\N	\N
tt0302345	1	nm1091040	actor	\N	"[""Boghos""]"
tt0302345	2	nm1092370	actor	\N	"[""Interrogator""]"
tt0302345	3	nm1091115	actor	\N	"[""Agent""]"
tt0302345	4	nm1089856	actor	\N	"[""Agent""]"
tt0302345	5	nm1091461	director	\N	\N
tt0302345	6	nm1091644	composer	\N	\N
tt0302345	7	nm0034191	cinematographer	\N	\N
tt0302345	8	nm0267173	cinematographer	\N	\N
tt0302345	9	nm1089659	editor	\N	\N
tt0307847	10	nm0677458	actor	\N	"[""Tobias""]"
tt0307847	1	nm0635262	actor	\N	"[""Hoffa""]"
tt0307847	2	nm0526519	actress	\N	"[""Annelie""]"
tt0307847	3	nm0881146	actor	\N	"[""Max""]"
tt0307847	4	nm0375138	actress	\N	"[""Anna""]"
tt0307847	5	nm0526620	writer	written by	\N
tt0307847	6	nm0067351	actor	\N	"[""Hamid""]"
tt0307847	7	nm0470886	actor	\N	"[""Patrik""]"
tt0307847	8	nm0252426	actor	\N	"[""Petter""]"
tt0307847	9	nm2588036	actress	\N	"[""Lina""]"
tt0339845	1	nm3502927	actor	\N	"[""Trapper Joe""]"
tt0346491	10	nm0778285	producer	producer	\N
tt0346491	1	nm0268199	actor	\N	"[""Alexander""]"
tt0346491	2	nm0000164	actor	\N	"[""Old Ptolemy""]"
tt0346491	3	nm0206257	actress	\N	"[""Roxane""]"
tt0346491	4	nm0001401	actress	\N	"[""Olympias""]"
tt0346491	5	nm0000231	director	\N	\N
tt0346491	6	nm0477370	writer	written by	\N
tt0346491	7	nm0436164	writer	written by	\N
tt0346491	8	nm0097001	producer	producer	\N
tt0346491	9	nm0453091	producer	producer	\N
tt0350031	1	nm0307624	actress	\N	\N
tt0350031	2	nm0035314	actress	\N	\N
tt0361864	1	nm0178292	actress	\N	\N
tt0361864	2	nm0498639	actress	\N	\N
tt0361864	3	nm1356669	actor	\N	\N
tt0394052	10	nm0912860	cinematographer	director of photography	\N
tt0394052	1	nm0000033	self	\N	"[""Self - Host""]"
tt0394052	2	nm0336335	actor	\N	"[""Mark Needham""]"
tt0394052	3	nm0758692	actor	\N	"[""Theodore Bond""]"
tt0394052	4	nm0625343	actor	\N	"[""Alex Trevor""]"
tt0394052	5	nm0791027	director	\N	\N
tt0394052	6	nm0375355	writer	teleplay	\N
tt0394052	7	nm0375925	writer	novel	\N
tt0394052	8	nm0516093	producer	producer	\N
tt0394052	9	nm0006266	composer	\N	\N
tt0435964	1	nm1270267	actor	\N	"[""Narrator""]"
tt0445307	1	nm0971408	actress	\N	"[""Football Strip Model""]"
tt0445307	2	nm1312344	self	\N	"[""Self - Football Strip Model""]"
tt0445307	3	nm1311412	actress	\N	"[""Football Strip Model""]"
tt0445307	4	nm8157185	actress	\N	"[""Football Strip Model""]"
tt0468121	10	nm1435903	editor	\N	\N
tt0468121	1	nm0407572	actor	\N	"[""Crispin Rodriguez""]"
tt0468121	2	nm0517034	actress	\N	"[""Christina""]"
tt0468121	3	nm0739360	actress	\N	"[""RJ Juan""]"
tt0468121	4	nm1085238	actress	\N	"[""Nene""]"
tt0468121	5	nm0207863	director	\N	\N
tt0468121	6	nm1038865	writer	story & screenplay	\N
tt0468121	7	nm2428214	composer	\N	\N
tt0468121	8	nm0309497	composer	\N	\N
tt0468121	9	nm1052102	cinematographer	\N	\N
tt0476355	10	nm0222523	director	\N	\N
tt0476355	1	nm1693276	actor	\N	\N
tt0476355	2	nm1126941	actress	\N	\N
tt0476355	3	nm0181567	actor	\N	\N
tt0476355	4	nm14186697	actor	\N	\N
tt0476355	5	nm1651724	director	\N	\N
tt0476355	6	nm14474979	director	\N	\N
tt0476355	7	nm10449131	director	\N	\N
tt0476355	8	nm1802098	director	\N	\N
tt0476355	9	nm1644459	director	\N	\N
tt0485030	1	nm0740485	self	\N	"[""Self""]"
tt0485030	2	nm0005658	cinematographer	\N	\N
tt0509122	10	nm1011440	writer	\N	\N
tt0509122	1	nm0005166	actress	\N	"[""Erica Kane""]"
tt0509122	2	nm0275693	actress	\N	"[""Ruth Martin""]"
tt0509122	3	nm0531994	actor	\N	"[""Joe Martin""]"
tt0509122	4	nm0913095	actress	\N	"[""Phoebe Tyler Wallingford""]"
tt0509122	5	nm0110828	writer	head writer	\N
tt0509122	6	nm0566699	writer	\N	\N
tt0509122	7	nm1014206	writer	\N	\N
tt0509122	8	nm0997483	writer	\N	\N
tt0509122	9	nm0920345	writer	\N	\N
tt0608039	1	nm0117790	actor	\N	"[""Les""]"
tt0608039	2	nm0661911	actress	\N	"[""Crofter""]"
tt0608039	3	nm1115654	actor	\N	"[""Mikey"",""Climber""]"
tt0608039	4	nm1243910	director	\N	\N
tt0608039	5	nm0376157	writer	writer	\N
tt0608039	6	nm0452576	writer	writer	\N
tt0608039	7	nm2068729	producer	producer	\N
tt0608039	8	nm0768459	production_designer	\N	\N
tt0622749	1	nm0504064	actress	\N	\N
tt0622749	2	nm0628647	actor	\N	\N
tt0622749	3	nm0842122	actor	\N	\N
tt0622749	4	nm0184785	writer	play	\N
tt0622749	5	nm0613848	writer	play	\N
tt0646126	10	nm0083717	production_designer	\N	\N
tt0646126	1	nm0084327	actress	\N	"[""Jane Andrews Mancini""]"
tt0646126	2	nm0129248	actor	\N	"[""Dr. Michael Mancini""]"
tt0646126	3	nm0189220	actress	\N	"[""Dr. Kimberly Shaw Mancini""]"
tt0646126	4	nm0004900	actor	\N	"[""Kyle McBride""]"
tt0646126	5	nm0370942	director	\N	\N
tt0646126	6	nm0823015	writer	created by	\N
tt0646126	7	nm0035070	composer	\N	\N
tt0646126	8	nm0026134	cinematographer	\N	\N
tt0646126	9	nm0161085	editor	\N	\N
tt0648831	1	nm1042702	actor	\N	"[""The Doctor""]"
tt0648831	2	nm0199421	self	\N	"[""Self""]"
tt0648831	3	nm1686696	self	\N	"[""Self""]"
tt0648831	4	nm0761816	self	\N	"[""Self""]"
